CALDT,TDBID,TDASK
20140922,96.1328125,96.1796875
20140923,96.2734375,96.3046875
20140924,96.109375,96.140625
20140925,96.3671875,96.390625
20140926,96.15625,96.1875
20140929,96.328125,96.359375
20140930,96.265625,96.2734375
20141001,96.6796875,96.6875
20141002,96.5859375,96.6171875
20141003,96.4296875,96.4609375
20141006,96.5546875,96.5859375
20141007,96.8984375,96.9296875
20141008,97.234375,97.2421875
20141009,97.171875,97.203125
20141010,97.3125,97.34375
20141014,97.7109375,97.7265625
20141015,98.140625,98.15625
20141016,97.9375,97.9453125
20141017,97.7734375,97.8203125
20141020,97.84375,97.859375
20141021,97.7265625,97.7578125
20141022,97.765625,97.78125
20141023,97.4765625,97.4921875
20141024,97.4765625,97.484375
20141027,97.5078125,97.5234375
20141028,97.4140625,97.421875
20141029,97.046875,97.109375
20141030,97.1875,97.2109375
20141031,98.1953125,98.2109375
20141103,98.1171875,98.1484375
20141104,98.1484375,98.1640625
20141105,98.1328125,98.1640625
20141106,97.9453125,97.9609375
20141107,98.3671875,98.390625
20141110,98.1015625,98.140625
20141112,98.03125,98.0625
20141113,98.21875,98.25
20141114,98.3046875,98.3203125
20141117,98.21875,98.2421875
20141118,98.296875,98.3125
20141119,98.140625,98.15625
20141120,98.203125,98.25
20141121,98.328125,98.3515625
20141124,98.3828125,98.4453125
20141125,98.515625,98.5546875
20141126,98.6171875,98.6484375
20141128,97.6484375,97.6796875
20141201,97.390625,97.40625
20141202,97.1328125,97.1484375
20141203,97.1015625,97.1171875
20141204,97.265625,97.28125
20141205,96.734375,96.765625
20141208,96.8359375,96.890625
20141209,97.0078125,97.0703125
20141210,97.265625,97.328125
20141211,97.140625,97.15625
20141212,97.5390625,97.59375
20141215,97.265625,97.296875
20141216,97.515625,97.578125
20141217,97.078125,97.1015625
20141218,96.859375,96.890625
20141219,96.8671875,96.8984375
20141222,96.90625,96.96875
20141223,96.5546875,96.5859375
20141224,96.5,96.5546875
20141226,96.5,96.515625
20141229,96.75,96.8125
20141230,96.8359375,96.8671875
20141231,97.53125,97.5390625
20150102,97.734375,97.765625
20150105,97.9296875,97.9375
20150106,98.3046875,98.328125
20150107,98.3125,98.328125
20150108,98.203125,98.234375
20150109,98.5703125,98.59375
20150112,98.7421875,98.796875
20150113,98.8046875,98.828125
20150114,99.03125,99.0390625
20150115,99.7734375,99.796875
20150116,99.0859375,99.1015625
20150120,99.1953125,99.234375
20150121,98.859375,98.90625
20150122,98.796875,98.828125
20150123,99.0703125,99.1015625
20150126,98.9296875,98.953125
20150127,98.953125,98.984375
20150128,99.40625,99.4375
20150129,99.28125,99.3046875
20150130,101.03125,101.046875
20150202,100.9140625,100.9609375
20150203,100.375,100.390625
20150204,100.5625,100.6171875
20150205,100.3203125,100.3359375
